User_ID,Age
0,20대
1,20대
2,20대
3,20대
4,40대
5,50대
6,20대
7,30대
8,20대
9,10대
10,30대
11,20대
12,20대
13,20대
14,20대
15,20대
16,60대
17,20대
18,20대
19,10대
20,30대
21,40대
22,10대
23,20대
24,40대
25,20대
26,20대
27,20대
28,20대
29,30대
30,20대
31,40대
32,50대
33,20대
34,20대
35,20대
36,10대
37,20대
38,40대
39,40대
40,20대
41,20대
42,20대
43,10대
44,20대
45,20대
46,20대
47,20대
48,10대
49,30대
50,20대
51,20대
52,30대
53,20대
54,20대
55,10대
56,20대
57,20대
58,20대
59,30대
60,20대
61,20대
62,20대
63,20대
64,50대
65,30대
66,20대
67,30대
68,30대
69,10대
70,40대
71,20대
72,20대
73,20대
74,50대
75,20대
76,40대
77,20대
78,20대
79,20대
80,10대 미만
81,30대
82,20대
83,20대
84,20대
85,20대
86,30대
87,30대
88,30대
89,70대
90,40대
91,50대
92,20대
93,30대
94,20대
95,20대
96,30대
97,20대
98,60대
99,20대
100,50대
101,20대
102,20대
103,20대
104,20대
105,20대
106,50대
107,20대
108,20대
109,30대
110,20대
111,20대
112,20대
113,20대
114,20대
115,20대
116,20대
117,10대 미만
118,30대
119,10대
120,30대
121,30대
122,20대
123,30대
124,30대
125,30대
126,20대
127,20대
128,20대
129,20대
130,20대
131,40대
132,40대
133,20대
134,20대
135,30대
136,40대
137,30대
138,30대
139,20대
140,20대
141,20대
142,40대
143,30대
144,30대
145,30대
146,20대
147,20대
148,20대
149,30대
150,20대
151,20대
152,40대
153,20대
154,20대
155,30대
156,40대
157,30대
158,40대
159,20대
160,20대
161,20대
162,60대
163,30대
164,20대
165,20대
166,20대
167,40대
168,60대
169,20대
170,20대
171,30대
172,20대
173,30대
174,20대
175,40대
176,20대
177,20대
178,50대
179,30대
180,20대
181,30대
182,20대
183,30대
184,20대
185,20대
186,20대
187,20대
188,50대
189,70대
190,20대
191,20대
192,20대
193,20대
194,20대
195,40대
196,20대
197,20대
198,30대
199,20대
200,40대
201,10대
202,20대
203,30대
204,20대
205,50대
206,20대
207,30대
208,20대
209,60대
210,50대
211,20대
212,20대
213,10대
214,20대
215,20대
216,20대
217,30대
218,40대
219,10대
220,30대
221,10대
222,50대
223,10대
224,20대
225,20대
226,40대
227,20대
228,40대
229,20대
230,30대
231,20대
232,60대
233,20대
234,20대
235,40대
236,20대
237,20대
238,20대
239,30대
240,20대
241,20대
242,10대
243,40대
244,20대
245,40대
246,20대
247,20대
248,50대
249,50대
250,10대
251,20대
252,30대
253,20대
254,20대
255,40대
256,20대
257,20대
258,30대
259,20대
260,20대
261,20대
262,20대
263,20대
264,60대
265,20대
266,40대
267,60대
268,30대
269,20대
270,70대
271,20대
272,30대
273,20대
274,50대
275,40대
276,20대
277,30대
278,20대
279,30대
280,20대
281,10대
282,60대
283,20대
284,20대
285,40대
286,50대
287,30대
288,10대
289,40대
290,30대
291,20대
292,20대
293,30대
294,30대
295,20대
296,20대
297,30대
298,20대
299,40대
300,20대
301,30대
302,10대
303,40대
304,30대
305,40대
306,30대
307,10대
308,20대
309,20대
310,20대
311,20대
312,20대
313,30대
314,20대
315,10대
316,40대
317,30대
318,20대
319,20대
320,20대
321,30대
322,20대
323,20대
324,20대
325,30대
326,20대
327,40대
328,20대
329,20대
330,30대
331,10대
332,20대
333,20대
334,20대
335,40대
336,20대
337,40대
338,30대
339,20대
340,20대
341,50대
342,60대
343,10대
344,20대
345,20대
346,20대
347,20대
348,30대
349,60대
350,10대
351,30대
352,20대
353,20대
354,20대
355,30대
356,20대
357,40대
358,20대
359,20대
360,20대
361,30대
362,40대
363,20대
364,10대
365,40대
366,10대
367,20대
368,20대
369,20대
370,40대
371,20대
372,20대
373,20대
374,10대 미만
375,30대
376,20대
377,20대
378,20대
379,20대
380,20대
381,30대
382,20대
383,20대
384,20대
385,20대
386,30대
387,30대
388,20대
389,40대
390,30대
391,30대
392,20대
393,10대
394,30대
395,20대
396,20대
397,20대
398,20대
399,30대
400,20대
401,20대
402,30대
403,30대
404,20대
405,20대
406,30대
407,20대
408,40대
409,70대
410,20대
411,30대
412,30대
413,40대
414,10대
415,20대
416,10대
417,20대
418,30대
419,20대
420,20대
421,20대
422,20대
423,30대
424,20대
425,20대
426,20대
427,30대
428,20대
429,20대
430,50대
431,20대
432,30대
433,20대
434,20대
435,20대
436,20대
437,30대
438,30대
439,30대
440,20대
441,20대
442,60대
443,30대
444,30대
445,40대
446,20대
447,30대
448,30대
449,50대
450,20대
451,20대
452,20대
453,20대
454,20대
455,20대
456,50대
457,20대
458,20대
459,20대
460,10대
461,40대
462,50대
463,20대
464,20대
465,20대
466,20대
467,20대
468,60대
469,20대
470,20대
471,20대
472,20대
473,30대
474,10대
475,10대
476,20대
477,20대
